NAME,P0,P1
J0720-3125,8.391116,6.98e-14
J0721-2038,0.015542,4.4e-20
J0723-2050,0.71154,
J0725-1635,0.424311,9.26e-17
J0726-2612,3.442308,2.93e-13
J0729-1448,0.251709,1.13e-13
B0727-18,0.510176,1.9e-14
J0732+2314,0.00409,6.02e-21
J0733-2345,1.79625,5.7e-15
J0734+14,1.772,
J0734-1559,0.15625,1.22e-14
J0736-6304,4.862874,1.52e-13
J0737-2202,0.32037,5.47e-15
J0737-3039A,0.022699,1.76e-18
J0737-3039B,2.773461,8.92e-16
J0738+6904,6.827693,2.7e-14
B0736-40,0.374921,1.38e-15
J0740+6620,0.002886,1.22e-20
J0741+17,1.73,
J0742+4110,0.003139,6.6900000000000006e-21
J0742+4334,0.606191,3.71e-16
B0740-28,0.166762,1.68e-14
J0744-2525,0.091996,9.56e-16
B0743-53,0.214839,2.19e-15
J0746-4529,2.791025,1.67e-14
J0747+6646,0.407701,6.78e-16
J0749+5720,1.174929,8.31e-17
J0749-4247,1.095453,9.76e-16
J0750+57,1.17487,
J0750-6846,0.915216,1.1e-16
J0751+1807,0.003479,7.790000000000001e-21
J0753-0816,2.09362,
B0751+32,1.442349,1.08e-15
B0756-15,0.682265,1.62e-15
J0758-30,1.092,
J0758-3002,1.09187,3.84e-16
J0802-5613,0.273973,2.76e-15
J0803+34,,
J0803-0942,0.571257,1.16e-15
J0804-3647,2.191987,4.21e-15
J0806+08,2.0631,
J0806-4123,11.370386,5.56e-14
J0807-5421,0.526644,3.75e-16
J0808-3937,0.866349,4.01e-16
B0808-47,0.547202,3.08e-15
J0811+37,1.2483,
J0812-3905,0.482596,4.49e-17
J0813+22,0.5314,
B0809+74,1.292241,1.68e-16
J0815+0939,0.645161,1.39e-16
J0815+4611,0.434242,3.9e-18
J0818-3049,0.763742,5.8e-16
J0818-3232,2.161259,7.54e-16
B0818-13,1.23813,2.11e-15
J0820-3826,0.124837,2.44e-15
J0820-3921,1.073567,1.22e-14
B0818-41,0.545446,1.98e-17
J0821-4221,0.39673,3.48e-15
J0821-4300,0.112799,9.29e-18
B0820+02,0.864873,1.05e-16
J0824+0028,0.009861,1.47e-19
B0823+26,0.530661,1.71e-15
J0827+53,0.0135,
B0826-34,1.848919,9.96e-16
J0831-4406,0.311674,1.28e-15
J0834-4159,0.121118,4.28e-15
J0834-60,0.384645,
J0835-3707,0.541404,9.78e-15
B0833-45,0.089328,1.25e-13
J0836-4233,0.738436,1.32e-15
B0834+06,1.273768,6.8e-15
J0837-2454,0.62941,3.49e-13
B0835-41,0.751625,3.54e-15
J0838-2621,0.308581,3.93e-17
J0838-2827,0.003615,1.04e-20
J0838-3947,1.703946,8.13e-16
J0839-66,0.449339,
B0839-53,0.720614,1.64e-15
B0840-48,0.644367,9.56e-15
J0843+0719,1.36586,
J0843+67,0.002846,
J0843-5022,0.208956,1.72e-16
B0844-35,1.116099,1.6e-15
J0847-4316,5.977493,1.2e-13
J0848+16,0.4524,
B0841+80,1.602228,4.46e-16
J0849-6322,0.367954,7.91e-16
J0853-4648,0.473156,
J0854+5449,1.233033,3.12e-16
B0853-33,1.267541,6.32e-15
J0855-4644,0.064686,7.26e-15
J0855-4658,0.575072,1.36e-14
B0855-61,0.962511,1.68e-15
J0857+3349,0.242961,2.4e-16
J0857-4424,0.326793,1.97e-14
J0900-3144,0.01111,4.89e-20
J0901-4046,75.885547,2.25e-13
J0901-4624,0.442058,8.74e-14
B0901-63,0.660314,9.68e-17
B0903-42,0.965174,1.88e-15
B0904-74,0.549554,4.62e-16
J0905-4536,0.988281,1.5e-16
J0905-5127,0.34631,2.48e-14
J0905-6019,0.340854,5.22e-16
B0905-51,0.253558,1.83e-15
B0906-17,0.401626,6.69e-16
B0906-49,0.106771,1.51e-14
B0909-71,1.36289,3.27e-16
B0904+77,1.57905,
J0911-42,1.940636,
J0912-3851,1.526085,3.59e-15
J0916-5243,1.310444,
J0917-4413,0.052905,
J0919-42,0.8126,
J0919-6040,1.216976,1e-17
B0917+63,1.567994,3.61e-15
J0921-5202,0.00968,1.81e-20
B0919+06,0.430632,1.37e-14
J0922-4534,0.004417,
J0922-4949,0.950357,9.76e-14
J0923-31,,
B0922-52,0.746344,3.54e-14
B0923-58,0.739505,4.92e-15
J0925+6103,0.005983,1.61e-20
J0927+2345,0.761889,3.05e-16
J0927-5242,0.327951,
J0928+06,2.0604,
J0928+30,2.0915,
J0930-1854,,
J0930-2301,1.807069,3.36e-15
J0931-1902,0.004638,3.63e-21
J0932-3217,1.931627,2.5e-16
